Start date,Start time,End date,End time,Start location,Start coordinates,End location,End coordinates,Duration (HH:MM),Distance(km),Efficiency(L/100km),Average speed(km/h),PHEV Fuel efficiency(L/100km),EV Distance(km)
"23/03/2023","08:11","23/03/2023","08:29","Riverend Rd 65,3175 Melbourne,Australia","-38.05029972222222,145.1490088888889","Pebble Ave 21,3975 Melbourne,Australia","-38.0772,145.25534","00:18","13.7","4.4","48.0","4.4","8.7"
"23/03/2023","07:43","23/03/2023","08:06","Pebble Ave 19,3975 Melbourne,Australia","-38.07710194444444,145.25531194444446","Riverend Rd 65,3175 Melbourne,Australia","-38.050265555555555,145.1490088888889","00:23","16.5","0.5","44.0","0.5","15.3"
"21/03/2023","16:02","21/03/2023","16:13","Maraline Rd 30,3977 Melbourne,Australia","-38.119007777777774,145.22693222222222","Pebble Ave 21,3975 Melbourne,Australia","-38.077197777777776,145.2553625","00:11","7.2","9.4","41.0","9.4","1.4"
"21/03/2023","15:31","21/03/2023","15:56","Riverend Rd 65,3175 Melbourne,Australia","-38.0502225,145.14839111111112","Maraline Rd 30,3977 Melbourne,Australia","-38.11897166666667,145.22674416666666","00:25","17.2","2.3","44.0","2.3","12.4"
"21/03/2023","14:48","21/03/2023","15:07","Pebble Ave 19,3975 Melbourne,Australia","-38.07718083333334,145.2554213888889","Riverend Rd 65,3175 Melbourne,Australia","-38.05025138888889,145.14838722222223","00:19","14.3","3.0","48.0","3.0","9.7"
"21/03/2023","10:12","21/03/2023","10:27","Riverend Rd 65,3175 Melbourne,Australia","-38.05025972222222,145.14884694444444","Pebble Ave 19,3975 Melbourne,Australia","-38.07718166666667,145.25535694444446","00:15","13.8","4.4","58.0","4.4","8.3"
"21/03/2023","09:48","21/03/2023","10:08","Lonsdale St 177,3175 Melbourne,Australia","-37.98970027777778,145.21433888888888","Riverend Rd 65,3175 Melbourne,Australia","-38.05025472222222,145.1488425","00:20","12.9","2.9","40.0","2.9","9.9"
"21/03/2023","08:40","21/03/2023","09:03","Pebble Ave 21,3975 Melbourne,Australia","-38.07721111111111,145.25532027777777","Lonsdale St 175,3175 Melbourne,Australia","-37.989735833333334,145.2143336111111","00:23","11.6","3.6","33.0","3.6","8.6"
"19/03/2023","16:58","19/03/2023","17:52","Janefield Dr 11,3083 Melbourne,Australia","-37.68273166666667,145.07125583333334","Pebble Ave 21,3975 Melbourne,Australia","-38.07719111111111,145.25535083333332","00:54","59.3","8.1","70.0","8.1","8.8"
"19/03/2023","16:35","19/03/2023","16:45","Janefield Dr 11,3083 Melbourne,Australia","-37.68271527777778,145.07128305555557","Janefield Dr 11,3083 Melbourne,Australia","-37.68270861111111,145.07125472222222","00:10","4.4","13.5","32.0","13.5","1.3"
"19/03/2023","14:53","19/03/2023","15:46","Elimatta Rd 48,3163 Melbourne,Australia","-37.902030277777776,145.0572527777778","Janefield Dr 11,3083 Melbourne,Australia","-37.682695555555554,145.07126833333334","00:53","54.4","7.1","64.0","7.1","8.5"
"19/03/2023","14:10","19/03/2023","14:14","Leila Rd 118,3163 Melbourne,Australia","-37.9021325,145.05834222222222","Elimatta Rd 48,3163 Melbourne,Australia","-37.9020175,145.05725333333334","00:04","1.8","5.3","30.0","5.3","1.0"
"19/03/2023","10:09","19/03/2023","10:46","Pebble Ave 19,3975 Melbourne,Australia","-38.07713888888889,145.2552286111111","Leila Rd 118,3163 Melbourne,Australia","-37.902143055555555,145.05836027777778","00:37","32.8","2.2","56.0","2.2","26.6"
"17/03/2023","15:26","17/03/2023","15:52","Riverend Rd 65,3175 Melbourne,Australia","-38.050225833333336,145.14839694444444","Pebble Ave 19,3975 Melbourne,Australia","-38.07718777777778,145.2553802777778","00:26","13.7","2.6","35.0","2.6","10.7"
"17/03/2023","14:49","17/03/2023","15:09","Pebble Ave 19,3975 Melbourne,Australia","-38.07715916666667,145.25537916666667","Riverend Rd 65,3175 Melbourne,Australia","-38.0502275,145.1483988888889","00:20","14.7","1.9","46.0","1.9","12.3"
"17/03/2023","08:14","17/03/2023","08:31","Riverend Rd 65,3175 Melbourne,Australia","-38.0502825,145.14905555555555","Pebble Ave 21,3975 Melbourne,Australia","-38.07721166666666,145.2553425","00:17","13.7","2.9","50.0","2.9","9.7"
"17/03/2023","07:52","17/03/2023","08:11","Pebble Ave 19,3975 Melbourne,Australia","-38.07717,145.25540722222223","Riverend Rd 65,3175 Melbourne,Australia","-38.05028388888889,145.149055","00:19","16.5","2.1","54.0","2.1","13.0"
"16/03/2023","15:27","16/03/2023","15:50","Riverend Rd 65,3175 Melbourne,Australia","-38.05023833333333,145.14846055555554","Pebble Ave 19,3975 Melbourne,Australia","-38.07718361111111,145.25537416666666","00:23","13.7","0.9","39.0","0.9","12.4"
"16/03/2023","14:49","16/03/2023","15:17","Pebble Ave 21,3975 Melbourne,Australia","-38.07724805555556,145.25535666666667","Riverend Rd 65,3175 Melbourne,Australia","-38.0502375,145.14846527777777","00:28","14.3","2.9","34.0","2.9","10.2"
"16/03/2023","08:17","16/03/2023","08:35","Riverend Rd 65,3175 Melbourne,Australia","-38.05024944444445,145.14883527777778","Pebble Ave 21,3975 Melbourne,Australia","-38.07721111111111,145.25535805555555","00:18","13.8","3.2","48.0","3.2","10.9"
"16/03/2023","07:47","16/03/2023","08:13","Pebble Ave 20,3975 Melbourne,Australia","-38.07720666666667,145.255525","Riverend Rd 65,3175 Melbourne,Australia","-38.05025333333333,145.14883444444445","00:26","16.5","2.1","41.0","2.1","14.1"
"13/03/2023","14:09","13/03/2023","14:44","Graydens Rd 175,3915 Tuerong,Australia","-38.27862694444445,145.10405527777777","Pebble Ave 21,3975 Melbourne,Australia","-38.077217222222224,145.25539388888888","00:35","35.1","5.8","63.0","5.8","15.1"
"13/03/2023","13:02","13/03/2023","13:26","Hall Rd 570,3977 Melbourne,Australia","-38.10877194444444,145.2337075","Graydens Rd 175,3915 Tuerong,Australia","-38.27865,145.10405083333333","00:24","28.1","4.1","73.0","4.1","16.9"
"13/03/2023","12:50","13/03/2023","12:58","Pebble Ave 19,3975 Melbourne,Australia","-38.077132222222225,145.25541277777776","Hall Rd 570,3977 Melbourne,Australia","-38.10881611111111,145.2337613888889","00:08","5.2","2.7","37.0","2.7","3.5"
"12/03/2023","12:58","12/03/2023","14:03","Olsen Walk 10,3082 Melbourne,Australia","-37.65277444444445,145.07740722222223","Pebble Ave 21,3975 Melbourne,Australia","-38.07720861111111,145.25542833333333","01:05","63.9","8.5","62.0","8.5","12.3"
"12/03/2023","11:03","12/03/2023","11:48","Masons Falls Rd,3757 Kinglake West,Australia","-37.49317638888889,145.25080583333335","Gorman Dr 16,3082 Melbourne,Australia","-37.65264527777778,145.07751083333332","00:45","40.1","7.6","56.0","7.6","13.9"
"12/03/2023","09:20","12/03/2023","10:01","Gorman Dr 17,3082 Melbourne,Australia","-37.65269444444444,145.0775277777778","Masons Falls Rd,3757 Kinglake West,Australia","-37.493317777777776,145.25078861111112","00:41","40.2","11.4","63.0","11.4","5.1"
"11/03/2023","16:46","11/03/2023","17:53","Pebble Ave 21,3975 Melbourne,Australia","-38.0772025,145.25544444444444","Gorman Dr 16,3082 Melbourne,Australia","-37.65266916666667,145.07750583333333","01:07","63.7","3.7","61.0","3.7","40.9"
"10/03/2023","15:30","10/03/2023","15:51","Riverend Rd 65,3175 Melbourne,Australia","-38.0502325,145.14841083333334","Pebble Ave 19,3975 Melbourne,Australia","-38.077173333333334,145.25537527777777","00:21","13.8","2.0","43.0","2.0","11.5"
"10/03/2023","14:56","10/03/2023","15:20","Pebble Ave 19,3975 Melbourne,Australia","-38.07707861111111,145.25555472222223","Riverend Rd 65,3175 Melbourne,Australia","-38.05020805555556,145.1484086111111","00:24","14.3","3.5","39.0","3.5","9.1"
"10/03/2023","08:12","10/03/2023","08:30","Riverend Rd 65,3175 Melbourne,Australia","-38.050266388888886,145.1491075","Pebble Ave 21,3975 Melbourne,Australia","-38.07720861111111,145.25536","00:18","13.7","4.4","49.0","4.4","8.3"
"10/03/2023","07:43","10/03/2023","08:09","Pebble Ave 20,3975 Melbourne,Australia","-38.07723361111111,145.25553027777778","Riverend Rd 65,3175 Melbourne,Australia","-38.050268055555556,145.14910777777777","00:26","16.5","3.0","42.0","3.0","11.0"
"09/03/2023","15:30","09/03/2023","15:53","Riverend Rd 65,3175 Melbourne,Australia","-38.05027388888889,145.14869972222223","Pebble Ave 21,3975 Melbourne,Australia","-38.07720555555556,145.2553738888889","00:23","13.8","2.3","39.0","2.3","10.5"
"09/03/2023","14:48","09/03/2023","15:09","Pebble Ave 19,3975 Melbourne,Australia","-38.07714333333333,145.25535277777777","Riverend Rd 65,3175 Melbourne,Australia","-38.050268611111115,145.14870555555555","00:21","14.4","4.2","44.0","4.2","7.5"
"09/03/2023","08:19","09/03/2023","08:36","Riverend Rd 65,3175 Melbourne,Australia","-38.050287222222224,145.14908722222222","Pebble Ave 21,3975 Melbourne,Australia","-38.07722472222222,145.25543638888888","00:17","13.7","3.9","53.0","3.9","9.1"
"09/03/2023","07:53","09/03/2023","08:17","Pebble Ave 19,3975 Melbourne,Australia","-38.077194166666665,145.2553875","Riverend Rd 65,3175 Melbourne,Australia","-38.05027722222222,145.1490938888889","00:24","16.5","2.6","44.0","2.6","12.0"
"07/03/2023","18:37","07/03/2023","18:48","Wedge Rd 50,3201 Melbourne,Australia","-38.08648916666667,145.18763805555557","Pebble Ave 21,3975 Melbourne,Australia","-38.0771875,145.25534888888888","00:11","7.9","4.7","47.0","4.7","4.7"
"07/03/2023","17:20","07/03/2023","17:33","Pebble Ave 19,3975 Melbourne,Australia","-38.07716138888889,145.25541416666667","Wedge Rd 50,3201 Melbourne,Australia","-38.086483888888885,145.18762","00:13","7.6","2.0","39.0","2.0","5.5"
"07/03/2023","15:29","07/03/2023","15:53","Riverend Rd 65,3175 Melbourne,Australia","-38.05026222222222,145.14840055555555","Pebble Ave 19,3975 Melbourne,Australia","-38.077175,145.25539555555557","00:24","13.8","2.1","37.0","2.1","11.6"
"07/03/2023","14:48","07/03/2023","15:10","Pebble Ave 20,3975 Melbourne,Australia","-38.07712194444444,145.25570638888888","Riverend Rd 65,3175 Melbourne,Australia","-38.05021138888889,145.1483986111111","00:22","14.3","2.6","43.0","2.6","9.5"
"07/03/2023","08:10","07/03/2023","08:26","Riverend Rd 65,3175 Melbourne,Australia","-38.05027861111111,145.14906277777777","Pebble Ave 21,3975 Melbourne,Australia","-38.077197777777776,145.25536194444445","00:16","13.7","3.8","54.0","3.8","8.1"
"07/03/2023","07:42","07/03/2023","08:07","Pebble Ave 20,3975 Melbourne,Australia","-38.07720194444445,145.25553","Riverend Rd 65,3175 Melbourne,Australia","-38.05027694444444,145.149065","00:25","16.5","1.2","44.0","1.2","14.4"
"05/03/2023","14:50","05/03/2023","15:51","Marine Pde 153-155,3925 San Remo,Australia","-38.52122055555556,145.3665572222222","Pebble Ave 21,3975 Melbourne,Australia","-38.07720277777778,145.25537","01:01","77.9","8.5","82.0","8.5","4.5"
"05/03/2023","14:17","05/03/2023","14:42","Ventnor Rd 1320,3922 Summerlands,Australia","-38.51683805555555,145.11797583333333","Marine Pde 151,3925 San Remo,Australia","-38.5212325,145.366565","00:25","24.0","7.7","59.0","7.7","4.2"
"05/03/2023","13:43","05/03/2023","13:58","Pyramid Rock Rd,3922 Ventnor,Australia","-38.52587805555556,145.2217636111111","Ventnor Rd 1320,3922 Summerlands,Australia","-38.51683055555556,145.11797611111112","00:15","13.1","9.1","58.0","9.1","2.7"
"05/03/2023","13:10","05/03/2023","13:25","Vista Pl 15,3925 Cape Woolamai,Australia","-38.52153555555556,145.33496166666666","Pyramid Rock Rd,3922 Ventnor,Australia","-38.525890555555556,145.221765","00:15","14.0","9.7","51.0","9.7","1.9"
"05/03/2023","12:24","05/03/2023","12:27","Broadbeach Rd 1,3925 Cape Woolamai,Australia","-38.53768138888889,145.33410055555555","Vista Pl 15,3925 Cape Woolamai,Australia","-38.52154,145.33491305555555","00:03","1.9","10.9","34.0","10.9","0.4"
"05/03/2023","11:32","05/03/2023","11:37","Phillip Island Rd 895,3925 Newhaven,Australia","-38.51498472222222,145.34863777777778","Broadbeach Rd 1,3925 Cape Woolamai,Australia","-38.53766666666667,145.33410916666668","00:05","3.7","10.4","42.0","10.4","0.5"
